,Negative Acc,Negative F1,Negative Precision,Anti-Neagtive Acc,Anti-Negative F1,Anti-Negative Precision,Mean Acc
"['SPEED', 'PS_WORD', 'SIL_AVG']",62.96000000000001%,54.120000000000005%,48.61%,84.39%,87.57000000000001%,91.2%,80.58%
"['1PD', '1PF']",64.02%,52.64%,45.17%,82.25%,86.48%,91.32000000000001%,79.08%
"['1PD', '1QD']",60.760000000000005%,55.230000000000004%,54.269999999999996%,86.33999999999999%,88.35%,91.05%,81.75%
"['1PD', '1QF']",54.50000000000001%,47.839999999999996%,47.82%,83.61%,86.14%,89.56%,78.47%
"['1PD', 'PS_WORD']",60.46%,57.02%,55.900000000000006%,87.89%,89.27000000000001%,90.86%,82.83%
"['1PF', '1QD']",67.51%,50.33%,42.5%,76.58%,82.72%,91.75%,74.85000000000001%
"['1PF', '1QF']",46.52%,41.89%,38.33%,83.07%,85.13%,87.33%,76.36%
"['1PF', 'PS_WORD']",58.41%,49.84%,46.03%,82.58%,85.83%,90.01%,78.21000000000001%
"['1PF', 'SIL_AVG']",68.07%,56.42%,49.02%,83.0%,87.18%,92.06%,80.34%
"['1QD', '1QF']",65.75999999999999%,50.2%,45.2%,79.29%,84.73%,91.89%,77.07000000000001%
"['1QD', 'PS_WORD']",69.8%,58.47%,53.690000000000005%,83.87%,87.7%,92.80000000000001%,81.26%
"['1QD', 'SIL_AVG']",63.92%,60.160000000000004%,58.95%,88.91%,90.28%,92.03%,84.55%
"['1QF', 'PS_WORD']",62.72%,47.81%,39.5%,77.62%,83.31%,90.36999999999999%,74.9%
"['1QF', 'SIL_AVG']",72.75%,52.949999999999996%,42.82%,75.96000000000001%,83.1%,92.63%,75.49%
"['SPEED', 'PS_WORD']",69.71000000000001%,51.71%,41.5%,77.75999999999999%,84.22%,92.0%,76.23%
"['SPEED', 'SIL_AVG']",73.07000000000001%,52.959999999999994%,41.85%,76.84%,83.97%,92.94%,76.28%
"['PS_WORD', 'SIL_AVG']",60.01%,55.010000000000005%,52.470000000000006%,86.81%,88.62%,90.7%,81.97%
['1PD'],54.910000000000004%,51.21%,51.53%,85.42%,87.16000000000001%,89.45%,79.75999999999999%
['1PF'],49.64%,42.8%,38.12%,82.16%,84.88%,87.89%,76.09%
['1QD'],62.370000000000005%,54.83%,52.44%,84.39999999999999%,87.42%,91.08000000000001%,80.42%
['1QF'],56.52%,40.550000000000004%,33.08%,71.31%,77.95%,87.98%,68.7%
['SPEED'],75.33999999999999%,50.42%,38.25%,72.18%,81.11%,93.12%,72.85000000000001%
['PS_WORD'],60.49%,48.15%,40.300000000000004%,79.82000000000001%,84.57000000000001%,90.02%,76.25999999999999%
['SIL_AVG'],63.11%,54.32%,49.02%,84.17%,87.42%,91.23%,80.47%
